secret:secrets,confidential,hidden,spy,revealing,hiding,hide,mystery,reveal
protected:protect,protecting,protection,protections,vulnerable,safe,preserve,secure,exposed,monitored
preparation:preparations,prepare,preparing,prepared,training,planning,prepares,anticipation,pre,upcoming
others:those,people,other,them,relatives,individuals,persons,peers,whom
employ:employs,employed,hire,utilize,operate,invest,hiring,use,rely,apply
usually:typically,normally,often,generally,sometimes,tend,rarely,traditionally,tends,routinely
meal:meals,lunch,dinner,breakfast,eat,dish,food,dishes,dining,cooked
construct:build,constructed,develop,install,built,construction,establish,project,create,rebuild
release:releasing,releases,released,publish,announcement,publication,launch,update,forthcoming
operation:operations,operate,raid,operating,operated,raids,operational,procedure,effort,investigation
supporting:supported,support,supports,supportive,promoting,backing,helping,assisting,providing,contributing
tool:tools,method,useful,instrument,component,platform,techniques,methods,functionality,interface
curious:strange,interesting,wondering,fascinating,surprised,confused,surprising,skeptical,weird,odd
works:work,worked,working,uses,performs,manages,handles,goes,teaches,operates
alcohol:drink,liquor,drinking,drunk,drinks,drugs,cocaine,drug,heroin,beer
editorial:editors,article,editor,newspaper,column,columnist,newspapers,articles,publisher
answered:answer,responded,replied,answers,respond,responding,addressed,questions,question,asked
careful:cautious,carefully,wary,cautioned,thorough,caution,sure,aggressive,aware,wise
enthusiastic:passionate,excited,skeptical,impressed,optimistic,supportive,thrilled,enthusiasm,upbeat,delighted
newsletter:column,publication,journal,blog,articles,publications,magazine,letter
doubt:doubts,wonder,question,assurance,indication,knowing,undoubtedly,convinced,certainly,believe
arrival:arriving,departure,arrived,arrive,introduction,arrives,announcement,birth,returning,return
quicker:faster,slower,better,easier,sooner,harder,shorter,stronger,quick,bigger
reasonable:reasonably,appropriate,acceptable,sufficient,adequate,fair,justified,realistic,logical,correct
leaving:left,leave,leaves,returning,entering,arriving,returned,staying,letting,forcing
recovered:recovering,recover,returned,rebounded,suffered,seized,disappeared,bounced,surrendered,lost
midnight:noon,pm,dawn,evening,hours,midday,night
traveled:travels,traveling,flew,visited,trip,flown,travel,arrived,trips,went
indicator:indicators,gauge,indication,index,measure,measuring,signal,indicates,factor,component
raped:rape,murdered,abducted,stabbed,kidnapped,abused,attacked,stabbing,girl
foods:food,ingredients,vegetables,meat,nutrition,meals,recipes,dishes,eat,diet
brings:puts,gives,bring,adds,creates,comes,brought,delivers,provides,bringing
level:levels,threshold,intensity,low,minimum,high,tier,above,standards
hired:hire,recruited,appointed,hiring,employed,worked,joined,contracted,commissioned,resigned
reasonably:fairly,reasonable,quite,pretty,perfectly,very,relatively,generally,decent,similarly
spun:spin,slid,rolled,bounced,turned,crashed,ran,slammed,tossed,popped
mysterious:mystery,strange,bizarre,suspicious,unknown,curious,dark,unusual,hidden,weird
issuance:issuing,issued,holders,implementation,receipt,bonds,transactions,payment,securities,transaction
cure:treatments,cause,fix,diagnosis,healing,treat,causes,solve,disease,treatment
gets:receives,get,goes,loses,getting,got,comes,becomes,gives,reaches
fierce:intense,bitter,heated,tough,brutal,strong,battle,battles,harsh,sharp
semifinal:semifinals,quarterfinals,finals,championship,qualifier,tournament,seeded,matchup
reliable:accurate,efficient,trusted,reliability,credible,effective,consistent,convenient,robust,safe
updated:update,updates,revised,upgraded,reviewed,amended,modified,review,changed,expanded
stated:commented,noted,stating,explained,indicated,emphasized,stressed,said,concluded,reiterated
preferred:preference,prefer,favored,chose,opted,choosing,choice,choose,option,chosen
freeze:freezing,frozen,moratorium,suspend,cuts,ban,halt,shutdown,bans,restrictions
edged:fell,slipped,rebounded,surged,climbed,jumped,bounced,slid,dipped,rose
recipes:recipe,dishes,cooking,ingredients,dish,foods,cook,menu,tips,chef
getting:get,got,gotten,gets,having,going,giving,receiving,coming
metals:metal,commodities,copper,commodity,aluminum,gold,chemicals,steel,uranium,mining
promotional:promotions,marketing,promotion,advertising,publicity,sponsorship,commercials,promote,ads,promoting
batters:batter,strikeouts,inning,innings,hitters,pitches,hits,hitter,pitcher
caution:cautious,careful,cautioned,warning,optimism,patience,warn,wary,warnings,uncertainty
automation:automated,functionality,solutions,integrated,systems,software,processes,integration,technology,efficiency
attitudes:attitude,habits,behavior,perception,feelings,sentiment,culture,mood,trends,beliefs
updates:update,updated,alerts,info,announcements,information,upgrades,releases,preview
halted:resumed,halt,delayed,suspended,stopped,stalled,suspend,canceled,postponed,resume
stuff:things,thing,really,guys,something,everything,guy,lot,crazy,anyway
branded:labeled,brand,brands,launches,dubbed,launched,label,launching,launch,products
music:jazz,songs,musicians,musical,musician,song,piano,folk
records:record,documents,statistics,database,files,documentation,data,filings
presentations:presentation,workshops,speeches,lecture,conferences,seminar,workshop,sessions,speakers,attendees
fans:fan,spectators,faithful,crowd,supporters,followers,players,crowds,lovers
promise:promises,pledge,promised,promising,commitment,commitments,hope,pledged,vowed,guarantee
raided:raid,raids,seized,searched,arrested,attacked,detained,suspected,abducted,uncovered
dignity:respect,integrity,humanity,freedom,courage,moral,justice,pride,democracy,rights
totaling:totaled,total,approximately,million,nine,five
longtime:former,loyal,prominent,legendary,beloved,fellow,veteran,retired,famed,mentor
continue:continues,continued,continuing,remain,begin,will,intend,ongoing,maintain,keep
electricity:electric,energy,utilities,power,electrical,utility,grid,gas
intend:intends,want,expect,anticipate,intention,will,did,intended,do,plans
bipartisan:congressional,senators,legislative,lawmakers
assembled:gathered,composed,comprising,comprised,built,consisting,constructed,packed,produced,formed
cultural:culture,cultures,heritage,arts,religious,social,artistic,educational,traditions,ethnic
bikes:bike,bicycle,cars,motorcycle,riders,vehicles,cycling,wheels,buses,car
reality:truth,fact,true,real,television,dream,perception,dreams,rhetoric
undoubtedly:surely,certainly,arguably,indeed,probably,definitely,obviously,perhaps,greatly,ultimately
comic:comedy,humor,characters,funny,jokes,laughs,character,movie,musical,fiction
computer:computers,laptop,laptops,software,desktop,computing,electronics
intent:intention,intentions,intended,aim,purpose,objective,intend,commitment,desire,committed
pants:jacket,shirt,shoes,boots,clothes,dress,shirts,wearing,hat
accomplish:accomplished,achieve,achieved,succeed,achieving,fulfill,done,execute,define,accomplishments
comments:remarks,comment,statements,suggestions,opinions,commenting,views,thoughts,responses
money:funds,dollars,cash,fund,funding,taxpayer,penny,donations
pensions:pension,retirees,retirement,salaries,wages,wage,salary,bonuses,welfare
positions:position,roles,posts,spots,jobs,job,leadership,responsibilities,slots,divisions
discussing:discussed,discuss,talking,exploring,talked,examining,reviewing,discussions,discussion,talk
opt:opted,prefer,choose,option,skip,preference,refuse,clause,preferred,roll
plagued:endured,caused,battling,prone,overcame,persistent,overcome,fueled,battled,struggled
style:styles,classic,approach,philosophy,tactics,attitude,tone,contemporary,blend,type
like:really,weird,crazy,kind,maybe,anymore,definitely,sort,differently,think
participating:participate,participated,participation,attending,participants,participant,involved,conducting,sponsored,organizing
somewhat:slightly,similarly,albeit,bit,quite,considerably,totally,surprisingly,fairly,entirely
opener:finale,semifinal,game,semifinals,matchup,quarterfinals,season,unbeaten
excuse:reason,explanation,stupid,justify,simply,blame,reasons,awful,joke,shame
pitching:pitchers,pitcher,bullpen,mound,hitters,pitched,strikeouts,hitter
named:selected,nominated,chosen,dubbed,appointed,naming,recognized,honored,identified,referred
complexity:complicated,difficulty,functionality,flexibility,sensitivity,complex,scope,challenges,difficulties,scale
beliefs:belief,assumptions,faith,principles,religion,philosophy,opinions,views,values,statements
crushed:smashed,shattered,beaten,knocked,swept,collapsed,ripped,trapped,destroyed,dumped
soaring:rising,surging,soared,booming,rise,falling,surge,rises,spike,surged
skeptical:wary,optimistic,concerned,convinced,worried,enthusiastic,doubts,cautious,reluctant,curious
injured:wounded,injuring,injuries,killed,hospitalized,injury,hurt,damaged,wounding,dead
northwest:southwest,northeast,southeast,east,west,north,south,eastern,northern,southern
wrote:writes,written,noted,writing,write,explained,stated,argues,says,read
rehabilitation:rehab,treatment,reconstruction,counseling,recovery,rebuilding,training,restoration,therapy,surgery
jazz:music,blues,piano,musical,musicians,folk,musician,dance
evidence:proof,testimony,indications,indication,facts,documentation,prosecution,witnesses,credible,case
precious:valuable,wasted,vital,golden,fragile,rare,beautiful,crucial,important,beloved
comprehensive:thorough,detailed,extensive,integrated,broad,robust,unified,solutions,solution,framework
identification:identifying,identity,registration,identify,passport,documentation,verify,tags,detection
gap:gaps,deficit,shortfall,divide,difference,differences,deficits,hole,barriers,bridge
gas:oil,gasoline,petroleum,fuel,petrol,coal
shutdown:closure,shut,disruption,layoffs,strike,meltdown,freeze,cuts,suspension,slowdown
reason:reasons,why,excuse,explanation,thing,because,motivation,factor,motive,example
lecture:seminar,presentation,presentations,workshop,speech,speeches,workshops,briefing,forum
employs:employ,operates,employed,produces,headquartered,sells,boasts,manages,uses
claim:claims,claiming,claimed,argue,allegation,contend,notion,insist,deny,arguing
backed:backing,supported,endorsed,rejected,opposed,pushed,financed,funded,led,challenged
proceeds:funds,fund,benefit,money,sale,fundraiser,cash,portion
filled:filling,fill,packed,empty,loaded,surrounded,lined,containing,decorated,poured
intensive:intense,extensive,specialized,consuming,training,undergo,thorough,lengthy,continuous,concentrated
covered:covering,covers,cover,exposed,protected,coverage,hidden,related,included,wrapped
c:b,d,p,t
treated:treat,treating,treats,hospitalized,treatment,transported,dealt,diagnosed,handled,evaluated
worried:concerned,worry,worrying,scared,afraid,wary,worries,anxious,feared,skeptical
study:studies,survey,researchers,research,findings,surveys,studied
withdrawn:withdraw,withdrew,withdrawal,removed,rejected,canceled,excluded,transferred,accepted,suspended
arrived:arriving,arrive,dispatched,returned,arrival,arrives,visited,came,spotted,flew
projects:project,initiatives,construction,development,infrastructure,programs,investments,grants,renovation,redevelopment
caught:catching,catch,catches,hooked,spotted,picked,chased,escaped,snapped,broke
sharply:dramatically,slightly,steadily,sharp,significantly,soared,substantially,weaker,surged,surging
matter:matters,issue,question,regardless,depends,know,case,whatever,it,depend
pump:pumps,pumping,pumped,gas,gallon,gasoline,drain,fuel,injection,petrol
aged:ages,age,olds,adults,younger,older,young,children,teenagers
arrives:arrive,begins,arrived,enters,comes,arriving,leaves,opens,gets,prepares
alert:alerts,warning,alerted,warnings,alarm,warn,notification,notify,detected,notified
replacement:replace,replacing,successor,replaced,replaces,repair,repairs,fill,backup,removal
complained:complaining,complain,criticized,argued,worried,complaints,alleging,questioned,unhappy,acknowledged
manufacturing:factory,manufacture,factories,industrial,manufacturers,plant,manufacturer,industries,manufactured
causing:caused,cause,causes,forcing,resulting,prompting,triggered,damaging,affecting,due
